id,name,benefit_url,stock_price
2352,エイジア,https://azia.premium-yutaiclub.jp/,1829.0
2353,日本駐車場開発,http://www.n-p-d.co.jp/ir/complimentary/,152.0
2359,コア,https://www.core.co.jp/ir/stock,1386.0
2373,ケア２１,https://www.care21.co.jp/,2181.0
2374,セントケア・ホールディング,https://www.saint-care.com/,843.0
2375,ギグワークス,https://www.gig.co.jp/ir/treat,2845.0
2376,サイネックス,http://www.scinex.co.jp/ir/shareholder.html,672.0
2378,ルネサンス,https://www.s-renaissance.co.jp/ir/system/,899.0
2379,ディップ,https://www.dip-net.co.jp/ir/individual/return,2718.0
2385,総医研ホールディングス,http://www.soiken.com/ir/personal/benefit/,606.0
2398,ツクイホールディングス,https://tsukui-hd.co.jp/ir/stock/incentives.html,546.0
2404,鉄人化計画,https://www.tetsujin.ne.jp/ir/ir_yuutai.html,229.0
2406,アルテ　サロン　ホールディングス,https://arte-hd.com/ir/incentives.html,561.0
2412,ベネフィット・ワン,https://corp.benefit-one.co.jp/ir/irinfo/incentives/,3055.0
2418,ツカダ・グローバルホールディング,https://www.tsukada-global.holdings/ir/stock/incentives.html,254.0
2427,アウトソーシング,https://www.outsourcing.co.jp/ir/stock/stockholder/,1358.0
2432,ディー・エヌ・エー,https://dena.com/jp/ir/stockholder.html,1855.0
2453,ジャパンベストレスキューシステム,https://www.jbr.co.jp/ir_info/shareholder/,875.0
2454,オールアバウト,https://allabout.premium-yutaiclub.jp/,976.0
2462,ライク,https://like.premium-yutaiclub.jp,1972.0
2464,ビジネス・ブレークスルー,https://www.bbt757.com/ir/stock/benefit.html,418.0
2469,ヒビノ,https://www.hibino.co.jp/ir/stocks/benefit.html,1217.0
2475,ＷＤＢホールディングス,https://www.wdbhd.co.jp/,2744.0
2484,出前館,https://corporate.demae-can.com/ir_information/stocks/dividend.html,3775.0
2487,ＣＤＧ,https://www.cdg.co.jp/ir/stockholder/treatment/,1585.0
2493,イーサポートリンク,https://www.e-supportlink.com/ir/yutai/,888.0
2498,オリエンタルコンサルタンツホールディングス,https://www.oriconhd.jp/,2051.0
2499,日本和装ホールディングス,http://www.wasou.com/profile/ir/stockinfo.html,245.0
2501,サッポロホールディングス,https://www.sapporoholdings.jp/ir/investor/benefit/,2038.0
2502,アサヒグループホールディングス,https://www.asahigroup-holdings.com/ir/shareholders_guide/shareholder,4249.0
2503,キリンホールディングス,https://www.kirinholdings.co.jp/irinfo/stock/yuutai.html,2398.5
2531,宝ホールディングス,https://ir.takara.co.jp/ja/Stock_index/Benefit.html,1244.0
2533,オエノンホールディングス,https://www.oenon.jp/ir/information/dividend.html,402.0
2540,養命酒製造,https://www.yomeishu.co.jp/company/stock/complimentary.html,1887.0
2573,北海道コカ・コーラボトリング,http://www.hokkaido.ccbc.co.jp/ir/stockmemo.html,4120.0
2588,プレミアムウォーターホールディングス,https://premiumwater-hd.co.jp/ir/privilege/,3325.0
2590,ダイドーグループホールディングス,https://www.dydo-ghd.co.jp/individual/benefits/,5530.0
2593,伊藤園,https://www.itoen.co.jp/finance_ir/stock/dividend/,6510.0
25935,伊藤園第１種優先株式,https://www.itoen.co.jp/finance_ir/stock/dividend/,2085.0
2594,キーコーヒー,https://www.keycoffee.co.jp/company/ir/shareholders,2133.0
2597,ユニカフェ,https://www.unicafe.com/ir/stock3/,1205.0
2599,ジャパンフーズ,http://www.japanfoods.co.jp/ir/benefits.html,1227.0
2602,日清オイリオグループ,https://www.nisshin-oillio.com/inv/stock_info/privilege.html,3025.0
2607,不二製油グループ本社,https://www.fujioilholdings.com/ir/stock/benefit/,2872.0
2612,かどや製油,https://www.kadoya.com/ir/page06.html,3945.0
2613,Ｊ−オイルミルズ,https://www.j-oil.com/ir/stock_information/benefit.html,3490.0
2652,まんだらけ,https://www.mandarake.co.jp/,488.0
2659,サンエー,https://www.san-a.co.jp/ir/insentives.html,4100.0
2664,カワチ薬品,http://www.cawachi.co.jp/ir/treatment.html,2893.0
